participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P30,43,3.069148064,TLD,1,1,left,0.0,3.069148064,implicit
P30,44,2.362790108,TLD,1,1,right,1.0,2.362790108,implicit
P30,45,2.728379965,TLD,1,1,left,1.0,2.728379965,implicit
P30,46,2.196353912,TLD,1,1,right,1.0,2.196353912,implicit
P30,47,2.434234142,TLD,1,1,right,0.0,2.434234142,implicit
P30,48,3.195119858,TLD,1,1,left,1.0,3.195119858,implicit
P33,1,3.067497969,TLD,1,1,left,0.0,3.067497969,implicit
P33,2,2.270562172,TLD,1,1,right,1.0,2.270562172,implicit
P33,3,2.683135033,TLD,1,1,right,0.0,2.683135033,implicit
P33,4,2.562393904,TLD,1,1,left,1.0,2.562393904,implicit
P33,5,3.046265125,TLD,1,1,left,0.0,3.046265125,implicit
P33,6,2.812283039,TLD,1,1,right,1.0,2.812283039,implicit
P33,7,2.149168015,TLD,1,1,right,0.0,2.149168015,implicit
P33,8,3.494579077,TLD,1,1,left,1.0,3.494579077,implicit
P33,9,3.551725864,TLD,1,1,left,0.0,3.551725864,implicit
P33,10,2.794859886,TLD,1,1,right,1.0,2.794859886,implicit
P33,11,2.963539124,TLD,1,1,left,1.0,2.963539124,implicit
P33,12,2.556634903,TLD,1,1,right,1.0,2.556634903,implicit
P33,13,0.5181689262,TLD,1,1,right,0.0,0.5181689262,implicit
P33,14,3.959549904,TLD,1,1,left,1.0,3.959549904,implicit
P33,15,2.796957016,TLD,1,1,right,1.0,2.796957016,implicit
P33,16,2.984680176,TLD,1,1,right,0.0,2.984680176,implicit
P33,17,3.109355927,TLD,1,1,left,1.0,3.109355927,implicit
P33,18,3.519279003,TLD,1,1,left,0.0,3.519279003,implicit
P33,19,2.725165129,TLD,1,1,right,1.0,2.725165129,implicit
P33,20,6.707455873,TLD,1,1,left,1.0,,implicit
P33,21,2.780699015,TLD,1,1,right,1.0,2.780699015,implicit
P33,22,3.708672047,TLD,1,1,left,1.0,3.708672047,implicit
P33,23,6.701179981,TLD,1,1,left,0.0,,implicit
P33,24,2.491440058,TLD,1,1,right,1.0,2.491440058,implicit
P33,25,3.080764771,TLD,1,1,left,0.0,3.080764771,implicit
P33,26,0.5128259659,TLD,1,0,right,1.0,0.5128259659,implicit
P33,27,3.014818907,TLD,1,1,left,1.0,3.014818907,implicit
P33,28,3.065523148,TLD,1,1,left,0.0,3.065523148,implicit
P33,29,2.860368967,TLD,1,1,right,1.0,2.860368967,implicit
P33,30,2.516289949,TLD,1,1,right,0.0,2.516289949,implicit
P33,31,3.067196131,TLD,1,1,right,0.0,3.067196131,implicit
P33,32,2.941476822,TLD,1,1,left,1.0,2.941476822,implicit
P33,33,0.5193891525,TLD,1,1,left,0.0,0.5193891525,implicit
P33,34,3.410273075,TLD,1,1,right,1.0,3.410273075,implicit
P33,35,2.632046938,TLD,1,1,left,1.0,2.632046938,implicit
